query,title,channel,channel_url,views,duration,url,brand_in_title
메디테라피 선크림,"광고❌화농성,좁쌀 여드름 피부는 꼭 보세요‼️10년 여드름 없애고 피부 좋아진 방법 공유 (ft.연고,약,스킨케어,습관,치료법)ㅣ인보라INBORA",INBORA인보라,https://www.youtube.com/channel/UCUrCIBJ3ScRAOLgPElscZqA,255613,1213,https://www.youtube.com/watch?v=rz7oQ0UBoQc,False
메디테라피 선크림,"쇼츠  40만뷰 찍은 신박한 수부지&지성 피부 관리법✨ (세안법,스킨케어,제품추천)",단츄눈,https://www.youtube.com/channel/UCuzsaQcL1N801SzHIIzzXHA,54857,527,https://www.youtube.com/watch?v=824O5bhQXHg,False
메디테라피 선크림,10x Cheaper Than Rejuran... 4 Regenerative Creams Recommended by a Doctor,태오네모세모,https://www.youtube.com/channel/UCQs5sRayqKqrdxTaV38OVRA,912061,644,https://www.youtube.com/watch?v=yAL3S2n8Pck,False
메디테라피 선크림,광고❌ 진짜 효과 본 스킨케어 추천템 싹 모아왔습니다..🔥 | 파우치 털기 스킨케어 편,화니 HWAN'E,https://www.youtube.com/channel/UCff7sQ_kjCEPZvr8h8US8ww,6879,1263,https://www.youtube.com/watch?v=9PurN1z_VDM,False
메디테라피 선크림,Ads❌ Stop wasting money on dermatologists! Just change this and your skin will improve 🌟 | How to...,옌마드Yenmad,https://www.youtube.com/channel/UCAVIfs9U_yhPL234y2V2e4g,361067,628,https://www.youtube.com/watch?v=a6ZEHUuOViQ,False
메디테라피 리뷰,[Review Diary] Pony's Basic Skincare Recommendations,블루문미디어,https://www.youtube.com/channel/UCO2EACboqTBLDy9dq3MD5Rg,4668,537,https://www.youtube.com/watch?v=1FP9gNpnMtU,False
메디테라피 리뷰,Should I buy the SNS advertisement item or not? Please don't buy this⚠️ All real reviews revealed!,민베리 Minberry,https://www.youtube.com/channel/UCa6EsGl8QGAtNLe773lNbHA,30049,919,https://www.youtube.com/watch?v=85D0ECD6rfw,False
메디테라피 리뷰,✨SNS광고템리뷰✨메디테라피 릴렉스패치 광고처럼 붓기가 빠지냐구요?? ... ｜깡소템📁,아임깡지imgangji,https://www.youtube.com/channel/UCUPZHHcEA4rQyeMpApPWcdQ,6022,208,https://www.youtube.com/watch?v=Tmxk28BAphs,True
메디테라피 리뷰,They said on Facebook that it would make your legs thinner? LOL I bought a Meditherapy EMS mat an...,디에디트 THE EDIT,https://www.youtube.com/channel/UCJKZoVf3RIMfFffjdseqdEg,100044,615,https://www.youtube.com/watch?v=1rOQXYxyaFs,False
메디테라피 리뷰,[리뷰다이어리] 포니의 피부 컨디션 UP 시키는 방법,블루문미디어,https://www.youtube.com/channel/UCO2EACboqTBLDy9dq3MD5Rg,10386,328,https://www.youtube.com/watch?v=FLoJHa8lUSU,False
메디테라피 리뷰,SNS 광고템 속지마세요‼️ 꿀템&후회템 솔직 리뷰 10가지,민가든,https://www.youtube.com/channel/UCr_QBNzvSm_a7mreIpTregw,42783,1021,https://www.youtube.com/watch?v=AF3s007NRx8,False
메디테라피 리뷰,"sns광고템 좋을까? 본격 상세리뷰 (feat. 본셉 립타투 vs 오아드, 모공블러크림. 브이쎄라, 히디프 클린키트, 쿠에른 여름샌들, 렌블링 축고정렌즈)",나랑,https://www.youtube.com/channel/UCg0mwETWY2shTcDdkI0xuAw,5517,731,https://www.youtube.com/watch?v=mLf8d7JKdDU,False
메디테라피 리뷰,Full-body circulation massage (ft. Meditherapy massage) that helped me through the NASDAQ crash,테미녀 : 테슬라에 미친 여자,https://www.youtube.com/channel/UCmCzEQuec5F1de8kNY94bEA,2177,261,https://www.youtube.com/watch?v=rkgWoSnEB7o,False
메디테라피 리뷰,팩폭리뷰🔥제발 이거 보고 사세요! 소문난 10만원대 생콜라겐팩부터 안면거상팩ㅣ아이돌스프레이ㅣ좁쌀패치ㅣ순삭EMS리프팅기기ㅣ로즈픽스 Rosefix,로즈픽스rosefix,https://www.youtube.com/channel/UChr2Yvl1kepJWL2Q8sX2Udg,40602,506,https://www.youtube.com/watch?v=clDka7cTtbQ,False
메디테라피 리뷰,Meditherapy Honest Review | Made because there were no Meditherapy video reviews.,SUJIN수진,https://www.youtube.com/channel/UCynHEzb0JM8j59TTP6deprw,746,356,https://www.youtube.com/watch?v=lRwIT0Pbk48,False
메디테라피 리뷰,메디테라피 속살패드 리얼 후기 :),쏭이 ssongyi,https://www.youtube.com/channel/UCRFbaqbzwDeJqgKulH889ug,6549,186,https://www.youtube.com/watch?v=KnaJ8SJO7EQ,True
메디테라피 리뷰,노협찬내돈내산💸 | 메디테라피링클핏마스크 한달사용 리얼후기 | ⭐️주관적후기,오지월드,https://www.youtube.com/channel/UCXpfSPYjMKeenWxfvl8sU5Q,59028,436,https://www.youtube.com/watch?v=m7i6PM7-E94,True
메디테라피 리뷰,Advertisement❌ ALL Made in Korea💸 SNS Advertisement Item Pack Review💥,우밀키 WOOMILKY,https://www.youtube.com/channel/UCPyxqlqi2uDHR48IV2RQjaQ,93345,814,https://www.youtube.com/watch?v=rxV2CAv5FKs,False
메디테라피 리뷰,"[트렌드쇼퍼 시즌2] 달라지는 효과, 직접 경험하세요 메디테라피 필리지오 볼륨 펌핑파 ＆ EMS 슈마지",선데이미디어,https://www.youtube.com/channel/UC6zDQHALEBtuEhGYlT1ZTfA,24907,411,https://www.youtube.com/watch?v=lvYl4Fn5m50,True
메디테라피 리뷰,수족냉증 고민해결?! SNS에서 이미 핫한 메디테라피 릴렉스 패치 사용후기! #윤드리뷰,"뷰티,데일리윤드 (윤드뷰티&데일리)",https://www.youtube.com/channel/UCvwVaqh38JYHoMRIBiix4cQ,654,209,https://www.youtube.com/watch?v=fCRLtxWxwTE,True
메디테라피 리뷰,승모근 뿌셔! 괄사마사지방법! (feat. 메디테라피 속살괄사),아림다운,https://www.youtube.com/channel/UCaOGbc0TjByjTNtdLyIC60Q,7443,877,https://www.youtube.com/watch?v=Scv8BbA9GUQ,True
메디테라피 리뷰,주름관리 보르피린 함유 콜라겐마스크팩 메디테라피 링클핏 사용후기,에일린의행복한리뷰,https://www.youtube.com/channel/UCmoCz6kH9pJtTHCgUyAgo3A,1829,204,https://www.youtube.com/watch?v=Q0iYhl48QVQ,True
메디테라피 리뷰,∫⊙아.가.리⊙∫메디테라피 괄사 리뷰,아.가.리,https://www.youtube.com/channel/UCuwZIUM_i8sv-8TJcxCeJBA,472,321,https://www.youtube.com/watch?v=Qdp3qvY2Ca8,True
메디테라피 리뷰,날것 그대로의 SNS 광고템 리뷰 3탄 - 메디테라피 포세라샷 타이트닝 쿨 패치(내돈내산),부지런한딩,https://www.youtube.com/channel/UCKY4xEc1wi3FNJesYYzx5kA,1039,389,https://www.youtube.com/watch?v=NunJA-8TYkk,True
메디테라피 리뷰,[트렌드쇼퍼 시즌2] 바르고 자면 끝! 메디테라피! 포쎄라 리얼 비피다 블러 크림,선데이미디어,https://www.youtube.com/channel/UC6zDQHALEBtuEhGYlT1ZTfA,28774,348,https://www.youtube.com/watch?v=x4IZ30HDbK4,True
